URL,Status,Size
http://10.13.37.103:80/CPSC778/,200,0
http://10.13.37.103:80/server-status/,200,0
http://10.13.37.103:80/icons/,403,0
http://10.13.37.103:80/CPSC778/midterm_1.html,200,0
http://10.13.37.103:80/CPSC778/midterm_2.html,200,0
http://10.13.37.103:80/index.html,200,108
http://10.13.37.103:80/CPSC778/midterm_3.html,200,0
http://10.13.37.103:80/CPSC778/files/file1.pdf,200,500
http://10.13.37.103:80/CPSC778/files/file2.pdf,200,600
http://10.13.37.103:80/CPSC778/files/file3.pdf,200,400
http://10.13.37.103:80/CPSC778/files/file4.pdf,200,300
http://10.13.37.103:80/CPSC778/files/file5.pdf,200,200
http://10.13.37.103:80/CPSC778/files/file6.pdf,200,1500
http://10.13.37.103:80/CPSC778/files/file7.pdf,200,100
http://10.13.37.103:80/CPSC778/files/file8.pdf,200,100
http://10.13.37.103:80/cmpt756/quiz/quiz1.pdf,200,200
http://10.13.37.103:80/cmpt756/quiz/quiz2.pdf,200,300
http://10.13.37.103:80/cmpt756/quiz/quiz3.pdf,200,400
http://10.13.37.103:80/cmpt756/quiz/quiz4.pdf,200,500
http://10.13.37.103:80/cmpt756/quiz/quiz5.pdf,200,600
http://10.13.37.103:80/cmpt756/quiz/quiz6.pdf,200,700
http://10.13.37.103:80/users/data/transactions/GlobalSales,200,2500
http://10.13.37.103:80/users/data/transactions/LocalSales,200,1800
http://10.13.37.103:80/users/data/users/UserProfiles,200,3200
http://10.13.37.103:80/users/data/users/UserPreferences,200,1200
http://10.13.37.103:80/users/analytics/trends/MarketAnalysis,200,4300
http://10.13.37.103:80/users/analytics/predictions/SalesForecast,200,3900
http://10.13.37.103:80/users/system/logs/AccessLogs,200,8000
http://10.13.37.103:80/users/system/logs/ErrorLogs,200,5600
http://10.13.37.103:80/users/tools/optimization/ResourceAllocator,200,2200
http://10.13.37.103:80/users/tools/analysis/CodeReviewer,200,2000
http://10.13.37.103:80/users/documentation/api/RestAPI,200,1500
http://10.13.37.103:80/CPSC778/pastQuiz,200,0
http://10.13.37.103:80/CPSC778/pastMidterm,200,0
http://10.13.37.103:80/CPSC778/pastFinal,200,0
http://10.13.37.103:80/users/documentation/guides/InstallationGuide,200,1700
