URL,Status,Size
http://10.13.37.103:80/cmpt783/,200,0
http://10.13.37.103:80/server-status/,200,0
http://10.13.37.103:80/icons/,403,0
http://10.13.37.103:80/cmpt783/quiz_2.html,200,0
http://10.13.37.103:80/cmpt783/quiz_1.html,200,0
http://10.13.37.103:80/index.html,200,108
http://10.13.37.103:80/cmpt783/quiz_3.html,200,0
http://10.13.37.103:80/cmpt783/lecture/lecture1.pdf,200,500
http://10.13.37.103:80/cmpt783/lecture/lecture2.pdf,200,600
http://10.13.37.103:80/cmpt783/lecture/lecture3.pdf,200,400
http://10.13.37.103:80/cmpt783/lecture/lecture4.pdf,200,300
http://10.13.37.103:80/cmpt783/lecture/lecture5.pdf,200,200
http://10.13.37.103:80/cmpt783/lecture/lecture6.pdf,200,1500
http://10.13.37.103:80/cmpt783/lecture/lecture7.pdf,200,100
http://10.13.37.103:80/cmpt783/lecture/lecture8.pdf,200,100
http://10.13.37.103:80/cmpt756/lecture/lecture1.pdf,200,200
http://10.13.37.103:80/cmpt756/lecture/lecture2.pdf,200,300
http://10.13.37.103:80/cmpt756/lecture/lecture3.pdf,200,400
http://10.13.37.103:80/cmpt756/lecture/lecture4.pdf,200,500
http://10.13.37.103:80/cmpt756/lecture/lecture5.pdf,200,600
http://10.13.37.103:80/cmpt756/lecture/lecture6.pdf,200,700
http://10.13.37.103:80/users/data/transactions/GlobalSales,200,2500
http://10.13.37.103:80/users/data/transactions/LocalSales,200,1800
http://10.13.37.103:80/users/data/users/UserProfiles,200,3200
http://10.13.37.103:80/users/data/users/UserPreferences,200,1200
http://10.13.37.103:80/users/analytics/trends/MarketAnalysis,200,4300
http://10.13.37.103:80/users/analytics/predictions/SalesForecast,200,3900
http://10.13.37.103:80/users/system/logs/AccessLogs,200,8000
http://10.13.37.103:80/users/system/logs/ErrorLogs,200,5600
http://10.13.37.103:80/users/tools/optimization/ResourceAllocator,200,2200
http://10.13.37.103:80/users/tools/analysis/CodeReviewer,200,2000
http://10.13.37.103:80/users/documentation/api/RestAPI,200,1500
http://10.13.37.103:80/cmpt783/quizResult,200,0
http://10.13.37.103:80/cmpt783/finalResult,200,0
http://10.13.37.103:80/cmpt783/finalMark,200,0
http://10.13.37.103:80/users/documentation/guides/InstallationGuide,200,1700
